camis,foursquare_fsq_id,google_place_id
40378571,4a08564af964a520b4731fe3,ChIJH9mMjZlZwokRuIt5KXWOZMw
40378579,4bf5663994af2d7f15a93b72,ChIJRdi1GaxZwokR3vmYZ_GDcSM
40378827,4fff3cb9e4b0a95e0bd76eeb,ChIJk8uF1e1EwokRZ6MDVMmqdAg
40378874,3fd66200f964a52036e61ee3,ChIJ5ais55FZwokR78b9lEBgVz4
40379026,4dc7728bae608779d16c3358,ChIJYYKX_a5fwokR7uZ8GHzomTI
40379149,4c02f0319a7920a1fa3acf79,ChIJORz6I5JZwokRJG6OtuIZLiU
40379566,4b53a77df964a52079a627e3,ChIJc0MR70BewokRTMXd_MHdgm8
40379580,4165d880f964a5207b1d1fe3,ChIJDwc3K3VZwokR8VxH2-0RvYg
40379662,4a78f65ef964a520b7e61fe3,ChIJLcHEA8BYwokRzRI1K_H7GE0
40379746,4b0c74cff964a5209f3d23e3,ChIJ88QfReNYwokRDwlvNwkIFVQ
40379890,49f125dcf964a52091691fe3,ChIJueUCrBBawokRiw9LMJFm0_o
40379920,4b301206f964a5207ff524e3,ChIJ8aQDcJZYwokRyPVIfqjkazY
40380182,4b58d8e8f964a520746e28e3,ChIJAZdBagFZwokR2ZfkjtBb7HU
40380422,4b16fb1bf964a52077c023e3,ChIJadLodmVewokRmyyNlLKVIuY
40380432,3fd66200f964a520d9ea1ee3,ChIJ3fYA6JFZwokREvGpQiCDe-4
40380457,4a746f9bf964a52023de1fe3,ChIJzVOUMFdYwokRy8Nskj-Mb34
40380464,41478600f964a520c41c1fe3,ChIJaxKr7ahbwokRcuzidxRVoPo
40380517,3fd66200f964a52046e81ee3,ChIJZ996e4RYwokR2kEubU7CVhA
40380520,4bad49a0f964a52041423be3,ChIJCbVgyeZgwokRKyrUxWU47Bs
40380592,3fd66200f964a52064eb1ee3,ChIJe6d6TERawokRw5jEzIqswwg
40380628,4bd33c46b221c9b63f37d9d0,ChIJzdV-RdVdwokRta1kl5m_MSs
